Address,LIFT Balance
0xB8aA505F812ab1dE4f67DdFD28cbAccae700ce9a,10.068
0x532FC88A39856D856bE7c578e087541d42CAbCd9,0.000
0xef6D6a51900B5cf220Fe54F8309B6Eda32e794E9,2.256
0x4561508C174a155f3cFfe333487499BFD0910F5D,4.511
0x78019D088411EBDd41C7A94Dbb027cF001CE0561,2.526
0x7a8327Bf2777db8888c130651E6f557490488A73,0.000
0x90578cAE9CC7181054E4f227ba6b635F626DBD94,0.992
0xDCec4112D82557f839d7Cb4368B599c26066c080,4.511
0x3B76339e5a2d9F1335BB0Fd7D7eA47A22a0E2c6E,6.767
0xEcA48629a35173a130f0C658037Bf30b31a476Af,5.865
0xA17b82A62C8532704CA1e0bE19B04D705ffb8D1D,0.000
0x60cc73B7391f44899d4f3d09ecB36f21704AA5BE,0.003
0x9dC97966e63b0437601fDf8Fe52e798Dd536032F,0.000
0xDB7c606C347195690381504F18609aC1e01c0F88,5.865
0x21f4A196ad7889B1241EE117733B23BDc726c8d8,0.000
0xF7ed00C646E159D43bf48B2077289D981E70ED30,1.128
0x7EaDF576fC1b03ca6F2a1933C8642cA85b137e24,58.648
0x505d63D240E324ab331A77Aa8552F8F8420BEd14,44.211
0xD65C4Ad25a4B79f47d3971e4bFcb3D7be64aD007,5.639
0xA1c9122485F0369FbF876E5c635A144a46BdBB85,0.000
0x7237592DE299355d1E284c003E232B415ef817f4,9.023
0x1a639078DEC414862a40fb436882085d1F18890A,0.003
0x5914E6272e5BBfFA6A072B117BF975093e0778DA,0.000
0xBeBDDfC75E0dc3abcA5421A256910d3e5B5D1fb9,0.000
0xfa98E8dfC63665b8e1876004d5620c0C771f41Fe,0.000
0x66A41cbAB444aC3eB6BAB8440859d56d493f2693,7.218
0xd5cCe51226879430E25678572fbD3B2640EFBE6f,0.000
0x6386F5C6fFB6bB012458d43D8B8298F9D172fDEb,0.000
0x1d956b86B6c3561509a896cf83a7Cc192530B149,4.511
0xb90C86194A0D1f1f91D110B6ceaa0225EFb073C3,0.000
0x13B3A50F3947476eDa74FE191344524E2d2D28e5,9.023
0x7298749159862E4F4F6951E03368E15b9151c633,5.298
0x6171B406C4d76f25d285eADEAB3E8658A794bE5F,9.023
0x3c2E77D0a1D6E622038565ea5b237D6C5a1bF81D,0.000
0x255a8870828617ddEe62D607fE378A68188075CA,0.000
0x2c3b5ec9504BEf78BcdA6868d369f4F75D54C42F,0.000
0xD6D6533a41f5C5dd4D10cEF8a008217B3A6532A2,4.511
0x557d44a5ef6e7ecf681a12a8f73e03cfd961ab1d,11.278
0xD8048483C6560Cd5D018408A7689A995b65e7BDA,0.000
0x2c7a996D229aE7C1CaA8fBF0630e3dCDAA51FD65,1.004
0x4aCD7b91f260256Fa5dd462bbfE3e57Ac623ac46,9.023
0x1827781Af4DEC16984a5ef2F53DA33C0d2bAd2A3,2.256
0xC19Bc00794257df8401217ed3490B11df593265D,0.000
0xA4Ec0b861da15e2AD3496fbd8DBE2Bb8d569B760,2.256
0xb6E8B596d027Da3C33D9c15eaF0522Ef303eD508,1.353
0x89E31BC0Ce0aB6914D13bE4A6D654729677fe0D9,0.000
0x546c9209a6e2b6AcC2e53d3B11e8115bA7396BD2,0.000
0x00c6Fe4Be57f9B887B91B01d9c7Ae28eF5703C41,0.000
0x359b04965a756052b335d962826a6292b40cb343,0.000
0xb1721E04B13886fbDFbAD96B0188948FEF127413,4.511
0x2E71F6147B1f28C2B9cCC2d4a566b86B7A52298E,0.000
0xA1F249e523f3B348e02e6e257399857bb0c5Df1e,2.256
0xE14Dad6ECB799AaC22d938AfDec38623bEe2D25C,0.000
0x289178876bb66C26179134BBDEAFc37413E34Dc4,7.579
0xD5e47973ceA61751412B4a97AF6F9443834B469D,54.136
0x7db6BB068FD59721E856e32166d2F417B4C8543A,13.457
0xA1c9122485F0369FbF876E5c635A144a46BdBB85,0.000
0xDcD7d160815a1c256DDc73b3fAA89391114d8249,6.767
0x807e4d82ee27AA8eB194c7867Ea196391B08461d,13.534
0xaBfB291CE054482b77fb947E969165CcE05276C7,1.304
0x73d801759B854a8a7dF91e6E9526F0eEa718FFfC,3.609
0xe647fec0191e51Eb31865D276Ac2b6f02d24aB26,0.000
0x303fC875D1fC3126B1bA0B011eaB69a506C50a67,2.256
0x8DE671eE899cD3382C6471496F7711dB473153AE,7.895
0xc548978af0b7836EdE4bDf098b789e4a4F007B07,3.609
0x2A1b09Ab7c67108fCf915add4A380047396C0926,12.066
0x1B021758aaf7179634721202bB7cE8689Bdf8379,4.793
0xec0E87208E982d0C042F7BEaf364Eb50566591D7,0.000
0xB60D76B9013dd227955a5304392F31A09F006431,4.556
0x9272227568d59326A9Be3a2BeBBc79c5EB2afF4A,4.511
0xd9F0Df0cB351E9d1DD946B08191EA48b8E767D82,0.003
0x8a9984eB4C1441E92328976D3fb438E922996cE1,2.256
0xA1c9122485F0369FbF876E5c635A144a46BdBB85,0.000
0xE4FCfA9De089C2Ae026c62f91938B33A08855fa4,0.000
0x83f8018A3f30fe6593B8324C72c4CF476aFECfAE,4.511
0x379251B63b285A41245FeBd7B08cb3AC47Eeed91,0.057
0x690F4b62632895f8bf80B842F1e3c46f82Cb897C,2.481